Ligand,Conformer,Vshell_0.0,Vshell_0.5,Vshell_1.0,Vshell_1.5,Vshell_2.0,Vshell_2.5,Vshell_3.0,Vshell_3.5,Vshell_4.0,Vshell_4.5,Vshell_5.0,Vshell_5.5,Vshell_6.0,Vshell_6.5,Vshell_7.0,Vshell_7.5,Vshell_8.0,Vshell_8.5,Vshell_9.0,Vshell_9.5,Vshell_10.0,Vshell_10.5,Vshell_11.0,Vshell_11.5,Vshell_12.0
R-DTBM-SEGPHOS_2,CONF_0976,0.0,9.202002355712604,31.69600938967136,35.954456346705875,38.13403468528151,46.74249502634606,49.485386930769984,51.74765019780134,54.901332220043685,53.99681275525924,50.0632585462614,45.89166815681243,41.96101520420292,39.89601357114211,36.44787569546168,31.677220580449937,26.924689948946657,18.48292833889136,10.161397197333592,4.7667385266773135,1.1986425371774354,0.066468014184653,0.0,0.0,0.0
R-DTBM-SEGPHOS_2,CONF_0939,0.0,9.334511189634863,31.836854460093893,36.03759714345726,38.00302556902451,46.59789358605215,49.40086857506024,51.63797656191781,54.724274435837984,53.73372768290841,49.85957556376398,45.798183424670505,42.00553201454584,40.03778757246384,36.42193290439087,31.584168493192323,26.900893635449176,18.71090291146657,10.248510816382568,4.7637633371136605,1.1769770867469511,0.0668468006969671,0.0,0.0,0.0
R-DTBM-SEGPHOS_2,CONF_0938,0.0,9.246171967020022,31.76838810641628,35.97546033746411,38.08064229073148,46.69895569157625,49.46045070571724,51.69451437421228,54.82392379929972,53.96158428044614,50.03639750526096,45.87056506326984,41.936657991595936,39.906886676821166,36.48453663495611,31.678457505271066,26.942428454177808,18.50875444385217,10.169624731131565,4.764953412939121,1.196692845586813,0.066468014184653,0.0,0.0,0.0
R-DTBM-SEGPHOS_2,CONF_0930,0.0,8.193462897526501,30.614241001564945,35.14580270251347,38.45241155648718,43.75639583293607,47.744485342795855,50.1449895186348,51.605199659055046,50.73822789977449,47.90301097964919,43.64356414814503,40.70283537838184,39.1717988353068,36.84424419190033,32.636049361075315,27.81444218769513,19.62475605619408,11.09253298504259,5.327440547999064,1.452042759521856,0.0319443292051615,0.0,0.0,0.0
R-DTBM-SEGPHOS_2,CONF_0884,0.0,8.296525323910481,30.71009389671361,35.10817055240496,37.2856888607645,43.92673950765592,47.88461368711878,49.30145831915838,51.67602277273732,51.11072731590424,47.68160606773433,43.278105902029054,40.39596763859862,39.092580493930825,36.50138523948566,32.50108319273621,28.014598385951352,19.675114207551577,11.155774476176257,5.6064472137459935,1.5648264495956976,0.0409630556888322,0.0,0.0,0.0
R-DTBM-SEGPHOS_2,CONF_0828,0.0,9.04004711425206,31.51017214397496,35.8835678778968,38.775732167928965,46.78253850211976,49.48384220886405,51.65563450329345,53.32806508768398,52.4491149704336,49.16293684953367,45.3286560287791,41.91555945369147,40.69483381564108,37.38242515971665,32.16294328735035,26.402475810705607,18.324172132916885,10.652863402799916,4.752611885860268,1.1890333429093694,0.0507213177441639,0.0,0.0,0.0
R-DTBM-SEGPHOS_2,CONF_0808,0.0,8.311248527679622,30.73943661971831,35.119547714065675,37.27184638810338,43.90862460194878,47.87600737935722,49.29319634658813,51.67515301520087,51.10425077178817,47.682559714160384,43.28060408755746,40.39839783668185,39.0911684022842,36.50410537563862,32.49956354224169,28.01633806422271,19.678252987898624,11.156732308469152,5.606116637127809,1.564965713280742,0.0408548309710282,0.0,0.0,0.0
R-DTBM-SEGPHOS_2,CONF_0801,0.0,8.289163722025913,30.672926447574334,35.1291745431632,38.453400304534405,43.752899973939954,47.75706379260122,50.13235356058618,51.61265472365317,50.7381297703182,47.90436197875276,43.648954969548434,40.72514901532792,39.18587268205156,36.84761391280624,32.63976013553869,27.83096913127301,19.617624967510867,11.080154844642058,5.325280780760265,1.4444031516565612,0.031385168163174,0.0,0.0,0.0
R-DTBM-SEGPHOS_2,CONF_0787,0.0,9.268256772673734,31.715571205007823,35.972834838619335,38.13354031125789,46.7590209052368,49.44412078842606,52.05480117806008,54.89114363175956,53.45533441537415,49.16516202452779,44.91178775415751,41.33015787450457,39.959463555797385,36.94456443718353,32.538721048007524,27.14985402235362,18.05674254071604,10.195019566794556,4.887421030755527,1.2801316877405775,0.0725827107405817,0.0,0.0,0.0
R-DTBM-SEGPHOS_2,CONF_0722,0.0,9.386042402826856,31.901408450704228,36.02271931667016,37.63471692143408,46.22606131101069,49.16562949624412,51.67863842692042,54.153713491927405,52.9432949123802,49.26728166265077,44.85045072526271,41.179596056893146,39.79566092478823,36.93339969924226,32.64527328616998,27.199900838338536,18.45567050956172,10.244409329384771,4.930968990590908,1.2954109034711672,0.0736649579186222,0.0,0.0,0.0
