Ligand,Conformer,1C,2C,3C,5Pd,6P,7P
109_cs,CONF_0007,0.08457,0.01949,0.13511,0.28315,0.17924,0.16005
109_cs,CONF_0013,0.11135,0.01844,0.11414,0.24864,0.19208,0.14283
109_cs,CONF_0019,0.12139,0.02158,0.11079,0.24275,0.15940,0.17392
109_cs,CONF_0022,0.13695,0.02086,0.08808,0.26164,0.17051,0.17869
109_cs,CONF_0061,0.12922,0.02634,0.07925,0.24645,0.17684,0.16692
109_cs,CONF_0073,0.09192,0.02804,0.13848,0.26901,0.15340,0.18560
109_cs,CONF_0075,0.10180,0.02557,0.11014,0.23946,0.19600,0.13707
109_cs,CONF_0089,0.12003,0.01959,0.11319,0.22761,0.14855,0.18898
109_cs,CONF_0239,0.09726,0.02653,0.12349,0.24048,0.17765,0.15618
109_cs,CONF_0505,0.12126,0.02158,0.11082,0.24274,0.15967,0.17380
110_cs,CONF_0003,0.15055,0.02131,0.08720,0.30349,0.18130,0.16283
110_cs,CONF_0007,0.08519,0.01935,0.13465,0.28263,0.17899,0.15999
110_cs,CONF_0009,0.08657,0.02123,0.15055,0.30512,0.16280,0.18067
110_cs,CONF_0015,0.11074,0.01831,0.11524,0.24854,0.19182,0.14293
110_cs,CONF_0021,0.12159,0.02137,0.11082,0.24247,0.15895,0.17450
110_cs,CONF_0024,0.13736,0.02076,0.08813,0.26167,0.17040,0.17924
110_cs,CONF_0062,0.12958,0.02620,0.07930,0.24591,0.17689,0.16698
110_cs,CONF_0076,0.09100,0.02820,0.13935,0.26843,0.15417,0.18518
110_cs,CONF_0078,0.10097,0.02566,0.11074,0.23962,0.19566,0.13766
110_cs,CONF_0095,0.11299,0.01942,0.12017,0.22817,0.18830,0.14910
110_cs,CONF_0210,0.12360,0.02654,0.09746,0.24063,0.15585,0.17745
110_cs,CONF_0578,0.12195,0.02133,0.11061,0.24276,0.15914,0.17436
111_cs,CONF_0004,0.01619,0,0,0.04501,0.04051,0.01670
111_cs,CONF_0007,0,0,0,0.03082,0.01853,0.02839
111_cs,CONF_0008,0.01652,0,0,0.04532,0.04087,0.01669
111_cs,CONF_0016,0,0,0,0.14048,0,0.04311
111_cs,CONF_0026,0,0,0,0.15544,0,0.04655
111_cs,CONF_0030,0.03093,0.02697,0.17375,0.32781,0.03193,0.32061
111_cs,CONF_0032,0,0,0,0.03080,0.01855,0.02835
111_cs,CONF_0034,0,0,0,0.09854,0.01519,0.02755
111_cs,CONF_0036,0.10354,0.02885,0.16622,0.25169,0.12747,0.24612
111_cs,CONF_0047,0.02788,0.02541,0.16781,0.33173,0.02633,0.31910
111_cs,CONF_0058,0.17464,0.02464,0.03240,0.28608,0.30336,0.03565
111_cs,CONF_0066,0,0,0,0.12244,0,0.03179
111_cs,CONF_0072,0,0,0,0.03078,0.02330,0.02564
111_cs,CONF_0077,0,0,0,0.09859,0.01510,0.02776
111_cs,CONF_0079,0,0,0.01197,0.03780,0.01483,0.03810
111_cs,CONF_0084,0.16928,0.02399,0.03456,0.29091,0.30312,0.03327
111_cs,CONF_0087,0.01586,0.01228,0.01334,0.85283,0.19661,0.04565
111_cs,CONF_0089,0.17310,0.02515,0.03879,0.28193,0.29954,0.04020
111_cs,CONF_0098,0,0,0,0.11211,0.01322,0.02878
111_cs,CONF_0105,0.17786,0.02424,0.04858,0.23509,0.27469,0.06023
111_cs,CONF_0108,0.06421,0.02753,0.20624,0.28536,0.16426,0.23538
111_cs,CONF_0111,0.13039,0.02868,0.13184,0.26190,0.20083,0.19869
111_cs,CONF_0112,0.05073,0.01875,0.18024,0.46867,0.26233,0.10292
111_cs,CONF_0119,0.17870,0.02418,0.04607,0.23335,0.27494,0.05868
111_cs,CONF_0120,0.06378,0.02742,0.20645,0.28528,0.16314,0.23618
