Ligand,Conformer,Atom1,Atom2,Atom3,Atom4,Atom5,Atom6,Atom7,Atom8,Atom9
107_cs,CONF_0144,-0.30065,-0.22237,-0.31518,0.24194,0.28868,0.87018,0.87790,0.24448,0.24437
107_cs,CONF_0145,-0.29198,-0.22339,-0.31537,0.24138,0.29727,0.86261,0.85784,0.24615,0.24619
107_cs,CONF_0167,-0.28556,-0.22548,-0.32047,0.24208,0.29746,0.87969,0.84729,0.24654,0.24850
107_cs,CONF_0170,-0.28767,-0.22532,-0.32032,0.24188,0.29074,0.86998,0.86482,0.24636,0.24677
107_cs,CONF_0197,-0.28049,-0.22801,-0.32123,0.24359,0.30006,0.86520,0.83876,0.24750,0.24831
107_cs,CONF_0206,-0.30058,-0.22090,-0.31795,0.24030,0.29456,0.86878,0.88625,0.24603,0.24590
107_cs,CONF_0224,-0.27967,-0.22917,-0.32803,0.24324,0.29753,0.87113,0.84454,0.24539,0.24788
107_cs,CONF_0378,-0.29247,-0.22313,-0.32272,0.24162,0.29261,0.87202,0.87011,0.24530,0.24657
107_cs,CONF_0394,-0.28336,-0.22337,-0.33384,0.24171,0.28374,0.89055,0.87818,0.24422,0.24671
108_cs,CONF_0003,-0.30785,-0.21730,-0.31560,0.23984,0.28748,0.88945,0.90352,0.24609,0.24567
108_cs,CONF_0004,-0.30103,-0.21843,-0.31754,0.24045,0.29464,0.88071,0.88454,0.24695,0.24692
108_cs,CONF_0007,-0.30080,-0.21888,-0.31556,0.24103,0.29334,0.89607,0.86662,0.24591,0.24639
108_cs,CONF_0009,-0.31039,-0.21864,-0.30937,0.24027,0.28925,0.87006,0.89584,0.24557,0.24488
108_cs,CONF_0010,-0.29853,-0.21980,-0.31634,0.24170,0.29103,0.88001,0.87913,0.24562,0.24591
108_cs,CONF_0015,-0.30072,-0.21954,-0.31003,0.23970,0.29620,0.86367,0.87787,0.24589,0.24582
108_cs,CONF_0020,-0.30072,-0.21955,-0.31002,0.23973,0.29626,0.86342,0.87781,0.24592,0.24583
108_cs,CONF_0024,-0.29798,-0.22083,-0.32209,0.24205,0.28371,0.88840,0.88668,0.24520,0.24579
108_cs,CONF_0026,-0.29882,-0.21905,-0.31120,0.24029,0.29411,0.88074,0.86209,0.24647,0.24715
108_cs,CONF_0027,-0.30884,-0.22014,-0.30279,0.24028,0.28957,0.88899,0.88112,0.24578,0.24455
108_cs,CONF_0030,-0.29985,-0.22239,-0.31531,0.24180,0.29053,0.88355,0.86498,0.24450,0.24494
108_cs,CONF_0032,-0.29596,-0.22139,-0.32168,0.24227,0.28831,0.88287,0.86850,0.24621,0.24700
108_cs,CONF_0033,-0.29810,-0.21983,-0.31684,0.24180,0.29055,0.88045,0.87952,0.24558,0.24592
108_cs,CONF_0034,-0.30902,-0.22010,-0.30253,0.24020,0.28963,0.88904,0.88094,0.24585,0.24459
108_cs,CONF_0035,-0.29357,-0.22314,-0.32233,0.24034,0.29276,0.87692,0.86792,0.24613,0.24752
